user_id,city_clean,region,device_raw,device_brand,device_class,device_range,device_model_norm
1ElftEEPYtc3Ua2zXAfYiFt01qo1,yirgalem,sidama,TECNO KG5k,tecno,budget,budget,tecno kg5k
AyAxmvVAgFWIAhujsDMc1yJ3tV53,jimma,oromia,TECNO KD7h,tecno,budget,budget,tecno kd7h
byswJDsNHoM1Iw8lw1Wu6X9UVDJ3,addis ababa,addis ababa,SM-A057F,samsung,midrange,midrange,sm-a057f
aqVB0TFBMlO808kLBtBMke08eut2,other,other,,other,budget,budget,
bsANmnbURufQTA8e970r7X0UZ8e2,woliso,oromia,SM-M145F,samsung,midrange,midrange,sm-m145f
r9DYjNNMHEToOim3W2oW9Mj2WwD2,waliso,oromia,SM-J810F,samsung,midrange,upper_midrange,sm-j810f
0gFp0LJoW4NwBCP1UuUxlGZx5sq1,hawassa,sidama,TECNO KF6n,tecno,budget,budget,tecno kf6n
zYLFGf1eEyfvgpe3n5XL75I0L1y1,gilgel beles,benishangul-gumuz,SM-A105F,samsung,midrange,midrange,sm-a105f
hLfyPk9mDxTPuXHPh5Cu3R0cZ5d2,other,other,ZTE Blade A31 Lite,zte,budget,budget,zte blade a31 lite
NmowBt9QMrNPy9jqNiLobNK30Dz1,other,other,SM-M017F,samsung,midrange,midrange,sm-m017f
YmnGskjQleSJOrOQjrrtejOKRJW2,dilla,south ethiopia,ZTE 8050,zte,budget,budget,zte 8050
CAV44uFVntfKhf8YqhY8PArI3gS2,jimma,oromia,,other,budget,budget,
aV9MxF5D5PYDCP4jhWqDuRaaIvo2,addis ababa,addis ababa,TECNO BG6,tecno,budget,budget,tecno bg6
LZkSqE4lrWVmplOSZV4Jtbq8zSx1,addis ababa,addis ababa,SM-T295,samsung,midrange,upper_midrange,sm-t295
x9uuVgA9epWrhn5H0w9vvGNZObV2,other,other,SM-M127G,samsung,midrange,midrange,sm-m127g
yp04qEoFa4hFUPF8G5VedGbtYJM2,other,other,SM-A105G,samsung,midrange,midrange,sm-a105g
M1Iy0l5WdChqcjd3wsOYxJtXHan2,addis ababa,addis ababa,DUB-LX1,other,budget,budget,dub-lx1
trP5rhzTurVdDSV7TKKMRrNv4O42,addis ababa,addis ababa,SM-M315F,samsung,midrange,upper_midrange,sm-m315f
xLNfa2Isp1WeqD30Z21gqTdTaGG2,addis ababa,addis ababa,,other,budget,budget,
LBKTo0LzV2WhW23rGeo1jgiAozm2,dilla,south ethiopia,,other,budget,budget,
KVTS9rIS5tMqQGpU4aQ39dgFCT52,addis ababa,addis ababa,,other,budget,budget,
yAO8xvVyLFhXe2fBzzZUJI1HNN72,other,other,itel A16 Plus,itel,budget,budget,itel a16 plus
8TP4iFopUUXpd9RVj9DbIWBmHsd2,dire dawa,dire dawa,SM-A125F,samsung,midrange,midrange,sm-a125f
6DikeeL0EzeD1HcoVEKfVoGPkzB2,other,other,itel A662L,itel,budget,budget,itel a662l
4kmywj9zRHcwP8gEPoKkgd7vY4Y2,other,other,SM-M135FU,samsung,midrange,midrange,sm-m135fu
242BL0vQq1cdt9udikV59azmanE2,other,other,TECNO KI5k,tecno,budget,budget,tecno ki5k
sZfcRvA4D3NrXSWnCTNB9g2TMWJ2,dire dawa,dire dawa,SM-M022G,samsung,midrange,midrange,sm-m022g
7IHAc4Ss99btINvPCwC0RdWQoTC2,other,other,,other,budget,budget,
nWxZHkunGSNXLDbNcqKJUOUS2qf2,other,other,TECNO KI5k,tecno,budget,budget,tecno ki5k
yxD9k5BfLMeLRGfZ0dZUxLFVTWk2,other,other,SM-X205,samsung,midrange,upper_midrange,sm-x205
324UH7PTQGRv8xTL4vmpCjHolhv1,addis ababa,addis ababa,SM-A032F,samsung,midrange,midrange,sm-a032f
zOYosXXnNBXHMQ0L2YSBadTumvk2,other,other,,other,budget,budget,
kTVOp2aoDHgQhAnUfZt6ZHu9OkG3,jimma,oromia,,other,budget,budget,
2hnhjoEfgygH2ifXgbefHpARrtF3,harar,harari,SM-A057F,samsung,midrange,midrange,sm-a057f
lU3yW8XUInb5qf5wrtljdAH25wz2,bahir dar,amhara,SM-M145F,samsung,midrange,midrange,sm-m145f
u4d61bou0vPaQBHgJQXxIcyPjjA3,other,other,,other,budget,budget,
l01yRnjSSeR8mAEF9bxSPL507Z63,other,other,SM-A908N,samsung,midrange,upper_midrange,sm-a908n
wLrvkDijLHe1YhyvncKnER7HmMG3,other,other,,other,budget,budget,
5szAzlz3xIaD8spJNBTfRNEUkAp2,jimma,oromia,,other,budget,budget,
HvDjquN2cuepnYMCpHOMS7kHdnG3,other,other,,other,budget,budget,
tupbuN3y8Fc0wRvQvnLhf0YWLcs1,arba minch,south ethiopia,,other,budget,budget,
h1AiXPTajqeQi6npUWaIJQeKSyv1,addis ababa,addis ababa,,other,budget,budget,
scVspmiwL7TsbmhMDLu7ZGDEnjL2,addis ababa,addis ababa,,other,budget,budget,
ZLoA1sOyTzYQAYsozMQDPUM9ifu2,addis ababa,addis ababa,SM-A045F,samsung,midrange,midrange,sm-a045f
KTMPqOIhH9gYcMkhmwxXX5vVSEH3,other,other,,other,budget,budget,
biAHGztUN7eQ3RMVtkx0kdP9eUr2,bale robe,oromia,,other,budget,budget,
5qs8l6d6uuRgvsh9r9p0l22Fic12,addis ababa,addis ababa,SM-A107F,samsung,midrange,midrange,sm-a107f
,addis ababa,addis ababa,,other,budget,budget,
,addis ababa,addis ababa,,other,budget,budget,
3xPZFQRl02cqzNuvVM2WXS8fJM43,other,other,,other,budget,budget,
y48iFKOuPfa2LXzKa7SRtvyEHTs2,addis ababa,addis ababa,,other,budget,budget,
epnS7uiJlcfEdFr4J7I5mOnSHTo2,addis ababa,addis ababa,SM-M135FU,samsung,midrange,midrange,sm-m135fu
4IdSKQtDytZKJSPIeeNdCpOLrRy1,other,other,CRO-U00,huawei,midrange,midrange,cro-u00
7CO16oD6s6bgnY8yS5szgjhd6WD2,other,other,,other,budget,budget,
gC5794PZlvNstzOOtMj4TNqPUCB3,dilla,south ethiopia,,other,budget,budget,
9YM6R4xNL2VmZZHdJDdUCKOniHv2,other,other,SM-A156E,samsung,midrange,upper_midrange,sm-a156e
voOz5WLf5obC1xmqLW5lGdoGxKu1,other,other,TECNO KI5k,tecno,budget,budget,tecno ki5k
ORavUYzdwIMgTmbAZkD77PMI4v83,other,other,V2027,vivo,midrange,midrange,v2027
MIehmEXU5vMzG4HVIPd0Cic0ZDA3,other,other,coral,other,budget,budget,coral
BxteCMlRdRU6qQgP4XgJVUAnwW83,goba,oromia,,other,budget,budget,
lYb1n3Imz6YmrDGyqTppjLAQaVl1,other,other,,other,budget,budget,
9Ljt8sFoAebH0dBCJ8zfvaWDX2g1,other,other,SM-M326B,samsung,midrange,upper_midrange,sm-m326b
i6OtTBHHKRURx890bbaL6nvwxxa2,dessie,amhara,SM-A556E,samsung,midrange,upper_midrange,sm-a556e
X0WUKhb00Kfj9c549XxUbrk4tva2,other,other,SM-E135F,samsung,midrange,midrange,sm-e135f
sVJTAf6rPQTAORQBqlKgaW7xdTr1,addis ababa,addis ababa,SM-A107F,samsung,midrange,midrange,sm-a107f
CIs22U8R7qOXD5BuLmiTF7lTF1Z2,other,other,TECNO KC8,tecno,budget,budget,tecno kc8
ESKMzNhCaJMSq82Z7khWwPAh1Gf1,other,other,SM-A065F,samsung,midrange,midrange,sm-a065f
pS9RjNiSzoMdltEf4tuyOK37jGn2,addis ababa,addis ababa,Infinix X612,infinix,budget,budget,infinix x612
yxHnWgm3TzYGOR2yPtBJ120KPP53,addis ababa,addis ababa,SM-M135FU,samsung,midrange,midrange,sm-m135fu
2EpyzvMTTbTT6nQu5IEQSMPhibU2,shire,tigray,TECNO KI5k,tecno,budget,budget,tecno ki5k
JRdYIgyppRXLjQTsvh3sbb8z1wM2,other,other,,other,budget,budget,
mRYXsnPX1yen9Hr6iubSamSdQ9q1,gambela,gambela,SM-A057F,samsung,midrange,midrange,sm-a057f
hI4HYMSZ9bQhYSFuotCPu2Kjync2,other,other,TECNO KF7j,tecno,budget,budget,tecno kf7j
JuL792YauIc2FoZDC9kWil4MuRi1,shashamane,oromia,SM-J700H,samsung,midrange,upper_midrange,sm-j700h
jk3bOU37sIVPW901874CtPTOVey1,other,other,TECNO BD4a,tecno,budget,budget,tecno bd4a
hquVlJ8pPMhgSwZ9sjoXTfU9nkD3,other,other,,other,budget,budget,
xTZj48anMnXInWBT0WMPR7n4LzT2,jimma,oromia,P20HD_EEA,other,budget,budget,p20hd_eea
jqaPsqciYfabOWe79ZcitzBzWNe2,jimma,oromia,,other,budget,budget,
9a9qEMzpm7fYOGc19ZRudMYkXEN2,addis ababa,addis ababa,SM-E135F,samsung,midrange,midrange,sm-e135f
pc859neA45VRdNtaGqqAD8N3kXx2,other,other,SM-M127G,samsung,midrange,midrange,sm-m127g
0A9BPZM8VRQ3hvpaoiZa78fLFdz1,addis ababa,addis ababa,SM-A146P,samsung,midrange,upper_midrange,sm-a146p
ImwIXMyaOKhLoityyBZjG00DCdJ2,debre tabor,amhara,SM-M145F,samsung,midrange,midrange,sm-m145f
ixhBcK8lzpYkJRNHdVcQHJAcGn33,other,other,,other,budget,budget,
7FzKN8U9mUeFdTIF6vO2nPZNzOM2,addis ababa,addis ababa,SM-A346B,samsung,midrange,upper_midrange,sm-a346b
QhWD2M3lJoSDjBdYjc0MhKaHYC82,other,other,SM-A057F,samsung,midrange,midrange,sm-a057f
ubxMC6Go7jW9fc6Nq4UgA4t8aYU2,other,other,SM-A226B,samsung,midrange,upper_midrange,sm-a226b
CaajUrlxSTRWk8Bwv0SQ9ClEbe33,other,other,,other,budget,budget,
Hqc2oaayXuaVlbbbhT5ZRU8EW2Y2,bonga,southwest ethiopia,V2026,vivo,midrange,midrange,v2026
MsKvEUZtZ2YD46HdxEREXrrgPtl1,hawassa,sidama,TECNO PR651H,tecno,budget,budget,tecno pr651h
tEEyAVg2fbRO7C1BiRTOcKZwsMe2,shashamane,oromia,,other,budget,budget,
EIkx308gdPM8gDNRG1elGxj6jbo1,other,other,,other,budget,budget,
LxyeC0VzfSNGdgnShesRNALGdtD2,other,other,,other,budget,budget,
swchotIKIQUkcZSfIbZ1fQr0gNC2,other,other,SM-M127G,samsung,midrange,midrange,sm-m127g
hjJRP0ATtsPFX7aZJVFWyyGec6z1,other,other,SM-A032F,samsung,midrange,midrange,sm-a032f
via6dDhXdnUnow9vmPkcILdJ8F12,addis ababa,addis ababa,,other,budget,budget,
UOLzqscDdFQaGtPs3hSCIsJdlOx2,bahir dar,amhara,TECNO B1p,tecno,budget,budget,tecno b1p
ulSQyGdAdXdRk7O5h7mABvvGhkm1,other,other,TECNO BD4,tecno,budget,budget,tecno bd4
whLKZsHbDRVWvFDZm6HbjL4FnAu2,other,other,,other,budget,budget,
pavEHJZHZ6PqLwe3A1f5U8VKUUk2,bahir dar,amhara,SM-M145F,samsung,midrange,midrange,sm-m145f
,other,other,,other,budget,budget,
c41dybty1jSjLARXiXlNFFkPJCW2,gondar,amhara,Infinix X659B,infinix,budget,budget,infinix x659b
p0gD2lQlwHglSHDa4cH5qjtLUzB3,addis ababa,addis ababa,SM-A055F,samsung,midrange,midrange,sm-a055f
SsavRM2RCZZgyaWEagzYebeL1Yw2,addis ababa,addis ababa,SM-G965U1,samsung,midrange,upper_midrange,sm-g965u1
fgaUU7kV9rQqVu4z9CrjWZImzel1,hawassa,sidama,Infinix X657B,infinix,budget,budget,infinix x657b
ys1xPevgTtUqw01g2HXiWllv5pw2,waliso,oromia,TECNO BD4h,tecno,budget,budget,tecno bd4h
NY2vJxI5xsX76L7O4ORsrGTvdiq1,addis ababa,addis ababa,,other,budget,budget,
,addis ababa,addis ababa,,other,budget,budget,
gdh3K5Y7wDO6TyyygJGEP1DShft1,addis ababa,addis ababa,TECNO BE7,tecno,budget,budget,tecno be7
06Ra7Bghv9QWlIwoMwA3ODNbTKt1,other,other,,other,budget,budget,
SdKJpF8ZI7QgcormQ0D2cZ8CJ4f2,asella,oromia,itel A662L,itel,budget,budget,itel a662l
44F0M2V9pXRJQHTkVg8LpsaRFCg1,addis ababa,addis ababa,,other,budget,budget,
3T3hhDvyWeeQWcMqPWSQlnMD9a22,addis ababa,addis ababa,,other,budget,budget,
MiTt6dhdreaHdBW9z3qGteTQ9sv1,other,other,SM-A125F,samsung,midrange,midrange,sm-a125f
ftA9UbzJcZOX0tM6WSYDRvIDnSt1,addis ababa,addis ababa,,other,budget,budget,
zs5rKBLShEVu2QEvnw17CdRkvXG3,hawassa,sidama,SM-A305N,samsung,midrange,upper_midrange,sm-a305n
tGjjx0cQkQVBe4HvEAfAfqKYE8q2,hawassa,sidama,Hope8 LTE(2022),other,budget,budget,hope8 lte(2022)
YGrginIBVbMi1JWKRd2opTmRHWG2,other,other,,other,budget,budget,
COl6orpBLRWe2anhzsaEpA7AmEk2,jimma,oromia,,other,budget,budget,
USL6tKqNBbPsrHVPn66ViMkeNjw1,addis ababa,addis ababa,,other,budget,budget,
6Uh81dNJuLRanqMs4KHlr46Lq5w2,other,other,CM7800plus,other,budget,budget,cm7800plus
6B4rah9ODKe3R2TJuk6cgEt77653,other,other,SM-M135FU,samsung,midrange,midrange,sm-m135fu
7nDM5c2EtNPnjdFj0H8SrOm1HrT2,jimma,oromia,SM-A155F,samsung,midrange,upper_midrange,sm-a155f
MYYzREUHuvWF1M6l6Vs6PjbilN43,other,other,,other,budget,budget,
kh90V2xI13OMRKbnJhSgKn0rgvz1,addis ababa,addis ababa,SM-A042F,samsung,midrange,midrange,sm-a042f
eaakbmO7hSeNIWeS5E7dc1RO2JB2,addis ababa,addis ababa,SM-A042F,samsung,midrange,midrange,sm-a042f
,addis ababa,addis ababa,,other,budget,budget,
bMyZm1JG40XQl51iNUOuIhpDX4f2,hawassa,sidama,,other,budget,budget,
e58kn15LB2MxTn4zSVOXHMUk3LJ3,hawassa,sidama,TECNO KF7j,tecno,budget,budget,tecno kf7j
Qb1aD0jMBtSbSK9QgKIvO5hCa4K2,addis ababa,addis ababa,SM-T295,samsung,midrange,upper_midrange,sm-t295
scflXdHXoUW3YealYnMyx7HPagl1,other,other,Infinix X657,infinix,budget,budget,infinix x657
NqybenVgmGSzMfHRDjpToIbWVL73,hawassa,sidama,SM-N9005,samsung,midrange,upper_midrange,sm-n9005
LMNj9hDW8sN2taS3GVZ4Q7wQ14G2,hawassa,sidama,,other,budget,budget,
OnPJHJhFokhqh3VA7dCJzaAhnrl2,hawassa,sidama,BGO-DL09,huawei,midrange,midrange,bgo-dl09
xNS5QRMs8mNVYMjEcGSs1APdGtJ3,bahir dar,amhara,TECNO KC8,tecno,budget,budget,tecno kc8
mx0acro12FW9vTB7jAq7pMHcvqu2,debre markos,amhara,SM-M145F,samsung,midrange,midrange,sm-m145f
2IBqmSH52Ua07NxdnEQGgzBHGts1,shire,tigray,SM-A057F,samsung,midrange,midrange,sm-a057f
GrOaZ8NL3hU7dCvEKWU53BHvz4M2,addis ababa,addis ababa,,other,budget,budget,
lLcBEv5OEXSudDPpRxvOQepNspq1,addis ababa,addis ababa,TECNO KG5k,tecno,budget,budget,tecno kg5k
9rURP0bGC4YOfN7vj01HKGEErcB3,addis ababa,addis ababa,CPH2471,oppo,midrange,upper_midrange,cph2471
XsNgNWPZtUWas75tLePPDyaLEJr2,addis ababa,addis ababa,SM-A057F,samsung,midrange,midrange,sm-a057f
qNKVm1JjjacpuVTF2qxzK6NKeeB2,other,other,SM-A057F,samsung,midrange,midrange,sm-a057f
PuykM8295BUneYrE98yxXQp7iAr2,welkite,south ethiopia,SM-A032F,samsung,midrange,midrange,sm-a032f
3JbyePN9qsVJ9auOLVzTzKfoRZP2,addis ababa,addis ababa,SM-A145F,samsung,midrange,midrange,sm-a145f
0sR9r3z1LAO2ZcbtqjY4zisZkYn1,other,other,,other,budget,budget,
QLZwAi7k3KVkx7pTGAFgVLL4N0M2,dessie,amhara,SM-E145F,samsung,midrange,midrange,sm-e145f
imO8KsScfuPJNxBJoW8GBkFkgpr2,hawassa,sidama,TECNO KH6,tecno,budget,budget,tecno kh6
SOmBYcI5RthmoG2vSOvHFONfne63,butajira,south ethiopia,,other,budget,budget,
13a1k6ttrNMj3YfzHXGdGpvoHMI2,adama,oromia,SM-A127F,samsung,midrange,midrange,sm-a127f
DttxwqB3JXekUgOtvCDbQKKSDdp1,adama,oromia,SM-S337TL,samsung,midrange,upper_midrange,sm-s337tl
VgJyiKGsfYdGeNT5BAhMhsAqB8M2,other,other,ANE-LX1,huawei,midrange,midrange,ane-lx1
blQfXT0siBanJqLYv0a7lf0Fqcl1,other,other,SM-A035F,samsung,midrange,midrange,sm-a035f
b5IgEYhgecOCEN7GSOPqoDAHnTs1,other,other,SM-A107F,samsung,midrange,midrange,sm-a107f
